Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

        262   FD 00022E00 NtCommitRegistryTransaction
        263   FE 00022E10 NtCommitTransaction
        264   FF 00022E20 NtCompactKeys
        265  100 00022E30 NtCompareObjects
        266  101 00022E40 NtCompareSigningLevels
        267  102 00022E50 NtCompareTokens
        268  103 00022E60 NtCompleteConnectPort
        269  104 00022E70 NtCompressKey
        270  105 00022E80 NtConnectPort
        271  106 000228E0 NtContinue
        272  107 00022E90 NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
        273  108 00022EA0 NtCreateDebugObject
        274  109 00022EB0 NtCreateDirectoryObject
        275  10A 00022EC0 NtCreateDirectoryObjectEx
        276  10B 00022ED0 NtCreateEnclave
        277  10C 00022EE0 NtCreateEnlistment
        278  10D 00022930 NtCreateEvent
        279  10E 00022EF0 NtCreateEventPair
        280  10F 00022A00 NtCreateFile
        281  110 00022F00 NtCreateIRTimer
        282  111 00022F10 NtCreateIoCompletion
        283  112 00022F20 NtCreateJobObject
        284  113 00022F30 NtCreateJobSet
        285  114 00022680 NtCreateKey
        286  115 00022F40 NtCreateKeyTransacted
        287  116 00022F50 NtCreateKeyedEvent
        288  117 00022F60 NtCreateLowBoxToken
        289  118 00022F70 NtCreateMailslotFile
        290  119 00022F80 NtCreateMutant
        291  11A 00022F90 NtCreateNamedPipeFile
        292  11B 00022FA0 NtCreatePagingFile
        293  11C 00022FB0 NtCreatePartition
        294  11D 00022FC0 NtCreatePort
        295  11E 00022FD0 NtCreatePrivateNamespace
        296  11F 00022FE0 NtCreateProcess
        297  120 00022980 NtCreateProcessEx
        298  121 00022FF0 NtCreateProfile
        299  122 00023000 NtCreateProfileEx
        300  123 00023010 NtCreateRegistryTransaction
        301  124 00023020 NtCreateResourceManager
        302  125 00022950 NtCreateSection
        303  126 00023030 NtCreateSemaphore
        304  127 00023040 NtCreateSymbolicLinkObject
        305  128 00022990 NtCreateThread
        306  129 00023050 NtCreateThreadEx
        307  12A 00023060 NtCreateTimer
        308  12B 00023070 NtCreateTimer2
        309  12C 00023080 NtCreateToken
        310  12D 00023090 NtCreateTokenEx
        311  12E 000230A0 NtCreateTransaction
